0, 2, 4
1, 2, 4
2, 1, 4
3, 2, 4
4, 2, 4
5, 1, 4
6, 2, 4
7, 1, 4
8, 1, 4
9, 2, 4
10, 1, 4
11, 2, 4
12, 2, 4
13, 2, 4
14, 2, 4
15, 1, 4
16, 2, 4
17, 2, 4
18, 2, 4
19, 1, 4
20, 2, 4
21, 1, 4
22, 1, 4
23, 2, 4
24, 2, 4
25, 1, 4
26, 2, 4
27, 2, 4
28, 1, 4
29, 2, 4
0, 1, 5
1, 2, 5
2, 1, 5
3, 2, 5
4, 1, 5
5, 2, 5
6, 2, 5
7, 2, 5
8, 2, 5
9, 2, 5
10, 1, 5
11, 2, 5
12, 2, 5
13, 1, 5
14, 2, 5
15, 2, 5
16, 2, 5
17, 2, 5
18, 1, 5
19, 2, 5
20, 2, 5
21, 2, 5
22, 1, 5
23, 2, 5
24, 2, 5
25, 2, 5
26, 2, 5
27, 1, 5
28, 2, 5
29, 1, 5
