0, 2, 4
1, 7, 4
2, 1, 4
3, 6, 4
4, 2, 4
5, 7, 4
6, 6, 4
7, 8, 4
8, 8, 4
9, 7, 4
10, 9, 4
11, 4, 4
12, 7, 4
13, 2, 4
14, 6, 4
15, 10, 4
16, 7, 4
17, 7, 4
18, 3, 4
19, 4, 4
20, 3, 4
21, 7, 4
22, 1, 4
23, 7, 4
24, 6, 4
25, 9, 4
26, 7, 4
27, 7, 4
28, 10, 4
29, 5, 4
30, 4, 4
31, 4, 4
32, 5, 4
33, 7, 4
34, 2, 4
35, 5, 4
36, 8, 4
37, 6, 4
38, 5, 4
39, 2, 4
40, 10, 4
41, 1, 4
42, 7, 4
43, 3, 4
44, 7, 4
45, 7, 4
46, 8, 4
47, 5, 4
48, 2, 4
49, 4, 4
0, 7, 5
1, 5, 5
2, 7, 5
3, 5, 5
4, 7, 5
5, 5, 5
6, 4, 5
7, 3, 5
8, 3, 5
9, 5, 5
10, 9, 5
11, 2, 5
12, 5, 5
13, 6, 5
14, 3, 5
15, 1, 5
16, 4, 5
17, 4, 5
18, 4, 5
19, 1, 5
20, 4, 5
21, 5, 5
22, 2, 5
23, 5, 5
24, 5, 5
25, 9, 5
26, 1, 5
27, 6, 5
28, 8, 5
29, 3, 5
30, 2, 5
31, 8, 5
32, 3, 5
33, 3, 5
34, 7, 5
35, 3, 5
36, 3, 5
37, 5, 5
38, 5, 5
39, 6, 5
40, 2, 5
41, 10, 5
42, 5, 5
43, 7, 5
44, 5, 5
45, 8, 5
46, 3, 5
47, 3, 5
48, 4, 5
49, 8, 5
